#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 12 49 210  5.1  6.7    MM    MM    MM  MM 1008.4   0.2    MM  -2.3   MM   MM    MM
2023 09 28 12 41 210  5.1  6.7    MM    MM    MM  MM 1008.4   0.2    MM  -2.3   MM   MM    MM
2023 09 28 12 31 210  5.1  7.2    MM    MM    MM  MM 1008.3   0.2    MM  -2.4   MM   MM    MM
2023 09 28 12 20 210  6.2  7.7    MM    MM    MM  MM 1008.4   0.3    MM  -2.5   MM   MM    MM
2023 09 28 12 09 210  5.7  7.2    MM    MM    MM  MM 1008.4   0.1    MM  -2.5   MM   MM    MM
2023 09 28 12 01 210  5.7  7.2    MM    MM    MM  MM 1008.4   0.1    MM  -2.5   MM   MM    MM
2023 09 28 11 50 220  5.1  7.2    MM    MM    MM  MM 1008.4   0.0    MM  -2.5   MM   MM    MM
2023 09 28 11 40 210  5.1  6.7    MM    MM    MM  MM 1008.4   0.0    MM  -2.4   MM   MM    MM
2023 09 28 11 30 210  5.1  6.7    MM    MM    MM  MM 1008.4  -0.2    MM  -2.4   MM   MM    MM
2023 09 28 11 19 210  5.1  6.7    MM    MM    MM  MM 1008.3   0.0    MM  -2.7   MM   MM    MM
2023 09 28 11 11 210  5.1  6.7    MM    MM    MM  MM 1008.3   0.0    MM  -2.7   MM   MM    MM
2023 09 28 11 01 210  5.7  6.7    MM    MM    MM  MM 1008.3   0.1    MM  -3.0   MM   MM    MM
2023 09 28 10 40 210  5.1  6.7    MM    MM    MM  MM 1008.3   0.4    MM  -3.2   MM   MM    MM
2023 09 28 10 31 210  5.7  6.7    MM    MM    MM  MM 1008.3   0.5    MM  -3.3   MM   MM    MM
2023 09 28 10 21 210  5.1  6.7    MM    MM    MM  MM 1008.3   0.0    MM  -3.2   MM   MM    MM
2023 09 28 10 09 220  4.6  6.2    MM    MM    MM  MM 1008.2   0.2    MM  -3.2   MM   MM    MM
2023 09 28 10 01 220  4.6  6.2    MM    MM    MM  MM 1008.2   0.2    MM  -3.2   MM   MM    MM
2023 09 28 09 51 220  4.6  5.7    MM    MM    MM  MM 1008.2   0.1    MM  -3.1   MM   MM    MM
2023 09 28 09 41 220  4.6  5.7    MM    MM    MM  MM 1008.2   0.0    MM  -3.1   MM   MM    MM
2023 09 28 09 30 220  4.6  5.7    MM    MM    MM  MM 1008.2  -0.2    MM  -3.2   MM   MM    MM
2023 09 28 09 21 210  4.1  5.1    MM    MM    MM  MM 1008.2  -0.4    MM  -3.2   MM   MM    MM
2023 09 28 09 11 210  4.1  5.1    MM    MM    MM  MM 1008.2  -0.2    MM  -3.2   MM   MM    MM
2023 09 28 08 59 220  4.1  5.1    MM    MM    MM  MM 1008.2   0.0    MM  -3.4   MM   MM    MM
2023 09 28 08 50 220  3.6  4.6    MM    MM    MM  MM 1008.1  -0.3    MM  -3.3   MM   MM    MM
2023 09 28 08 40 210  3.1  4.1    MM    MM    MM  MM 1008.1  -0.6    MM  -3.3   MM   MM    MM
2023 09 28 08 39 210  3.1  4.1    MM    MM    MM  MM 1008.1  -0.6    MM  -3.3   MM   MM    MM
2023 09 28 08 22 210  3.6  4.1    MM    MM    MM  MM 1008.0  -0.7    MM  -3.2   MM   MM    MM
2023 09 28 08 11 210  3.1  4.6    MM    MM    MM  MM 1008.0  -0.6    MM  -2.9   MM   MM    MM
2023 09 28 07 59 210  3.1  3.6    MM    MM    MM  MM 1007.9  -0.3    MM  -2.7   MM   MM    MM
2023 09 28 07 51 210  3.1  3.6    MM    MM    MM  MM 1007.9  -0.3    MM  -2.7   MM   MM    MM
2023 09 28 07 41 210  3.1  3.6    MM    MM    MM  MM 1007.9  -0.1    MM  -2.7   MM   MM    MM
2023 09 28 07 30 210  3.1  4.1    MM    MM    MM  MM 1007.9   0.1    MM  -2.9   MM   MM    MM
2023 09 28 07 21 210  3.6  3.6    MM    MM    MM  MM 1007.9   0.5    MM  -2.9   MM   MM    MM
2023 09 28 07 09 200  2.6  2.6    MM    MM    MM  MM 1007.9   1.1    MM  -1.3   MM   MM    MM
2023 09 28 07 01 200  2.6  2.6    MM    MM    MM  MM 1007.9   1.1    MM  -1.3   MM   MM    MM
2023 09 28 06 50 210  2.6  3.1    MM    MM    MM  MM 1007.9   1.0    MM  -1.0   MM   MM    MM
2023 09 28 06 41 210  2.6  3.1    MM    MM    MM  MM 1007.9   0.9    MM  -0.9   MM   MM    MM
2023 09 28 06 29 210  1.5  2.1    MM    MM    MM  MM 1007.9   1.4    MM  -0.6   MM   MM    MM
2023 09 28 06 21 210  1.5  2.1    MM    MM    MM  MM 1007.9   1.4    MM  -0.6   MM   MM    MM
2023 09 28 06 10 230  1.5  1.5    MM    MM    MM  MM 1007.9   1.3    MM  -0.6   MM   MM    MM
2023 09 28 06 00 250  2.1  2.1    MM    MM    MM  MM 1007.8   1.3    MM  -0.6   MM +0.3    MM
2023 09 28 05 50 250  2.1  2.1    MM    MM    MM  MM 1007.8   1.4    MM  -0.6   MM   MM    MM
2023 09 28 05 40 260  2.1  2.6    MM    MM    MM  MM 1007.8   1.5    MM  -0.6   MM   MM    MM
2023 09 28 05 29 260  2.1  2.6    MM    MM    MM  MM 1007.8   1.6    MM  -0.3   MM   MM    MM
