#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 26 16 00  MM   MM   MM    MM    MM    MM  MM 1017.5  27.9    MM  25.5   MM +0.0    MM
2023 09 26 15 00  MM   MM   MM    MM    MM    MM  MM 1018.0  28.3    MM  25.3   MM +0.7    MM
2023 09 26 14 00  MM   MM   MM    MM    MM    MM  MM 1018.0  26.2    MM  24.6   MM +0.9    MM
2023 09 26 13 00  MM   MM   MM    MM    MM    MM  MM 1017.4  25.8    MM  24.2   MM +1.1    MM
2023 09 26 12 00  MM   MM   MM    MM    MM    MM  MM 1017.3  24.1    MM  23.9   MM +0.7    MM
2023 09 26 11 00  MM   MM   MM    MM    MM    MM  MM 1017.1  24.0    MM  24.0   MM +0.5    MM
2023 09 26 10 00  MM   MM   MM    MM    MM    MM  MM 1016.3  24.2    MM  24.1   MM -1.0    MM
2023 09 26 09 00  MM   MM   MM    MM    MM    MM  MM 1016.6  24.5    MM  23.9   MM -0.8    MM
2023 09 26 08 00  MM   MM   MM    MM    MM    MM  MM 1016.6  25.4    MM  23.5   MM -1.0    MM
2023 09 26 07 00  MM   MM   MM    MM    MM    MM  MM 1017.3  25.2    MM  24.1   MM -0.6    MM
2023 09 26 06 00  MM   MM   MM    MM    MM    MM  MM 1017.4  25.2    MM  24.0   MM +0.0    MM
2023 09 26 05 00  MM   MM   MM    MM    MM    MM  MM 1017.6  25.5    MM  24.0   MM +0.0    MM
2023 09 26 04 00  MM   MM   MM    MM    MM    MM  MM 1017.9  25.8    MM  23.7   MM +0.5    MM
2023 09 26 03 00  MM   MM   MM    MM    MM    MM  MM 1017.6  25.6    MM  23.9   MM +1.0    MM
2023 09 26 02 00  MM   MM   MM    MM    MM    MM  MM 1017.4  26.2    MM  23.7   MM +1.3    MM
2023 09 26 01 00  MM   MM   MM    MM    MM    MM  MM 1017.4  26.2    MM  23.8   MM +1.1    MM
2023 09 26 00 00  MM   MM   MM    MM    MM    MM  MM 1016.6  26.5    MM  24.4   MM +0.4    MM
2023 09 25 23 00  MM   MM   MM    MM    MM    MM  MM 1016.1  28.3    MM  24.1   MM +0.0    MM
2023 09 25 22 00  MM   MM   MM    MM    MM    MM  MM 1016.3  28.1    MM  23.9   MM -0.3    MM
2023 09 25 21 00  MM   MM   MM    MM    MM    MM  MM 1016.2  27.8    MM  24.0   MM -0.9    MM
2023 09 25 20 00  MM   MM   MM    MM    MM    MM  MM 1016.3  27.8    MM  24.2   MM -1.0    MM
2023 09 25 19 00  MM   MM   MM    MM    MM    MM  MM 1016.6  27.6    MM  24.2   MM -1.0    MM
2023 09 25 18 00  MM   MM   MM    MM    MM    MM  MM 1017.1  27.3    MM  23.9   MM -0.4    MM
2023 09 25 17 00  MM   MM   MM    MM    MM    MM  MM 1017.3  29.3    MM  24.1   MM -0.3    MM
2023 09 25 16 00  MM   MM   MM    MM    MM    MM  MM 1017.6  28.9    MM  21.6   MM +0.6    MM
