#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 10  MM   MM   MM   2.0     7   6.3  98     MM    MM    MM    MM   MM   MM    MM
2023 09 15 19 10  60  9.0 11.0    MM    MM    MM  MM 1017.2  25.3  26.6  23.5   MM   MM    MM
2023 09 15 19 00  60  9.0 11.0    MM    MM    MM  MM 1017.1  25.3  26.6  23.4   MM +1.4    MM
2023 09 15 18 50  60  8.0 11.0   2.0     9   5.9  93 1017.1  25.1  26.6  23.6   MM   MM    MM
2023 09 15 18 40  MM   MM   MM    MM    MM    MM  MM 1017.1    MM    MM    MM   MM   MM    MM
2023 09 15 18 30  40  9.0 11.0    MM    MM    MM  MM 1017.1  24.4  26.6  23.3   MM   MM    MM
2023 09 15 18 20  40  9.0 11.0   2.2     8   5.9  89 1017.1  24.5  26.6  23.3   MM   MM    MM
2023 09 15 18 10  50  9.0 12.0   2.2    MM   5.9  89 1017.0  24.7  26.6  23.5   MM   MM    MM
2023 09 15 18 00  50  9.0 12.0    MM    MM    MM  MM 1016.9  24.8  26.6  23.5   MM +1.4    MM
2023 09 15 17 50  40  9.0 11.0   2.1     9   6.0  91 1016.8  24.8  26.6  23.4   MM   MM    MM
2023 09 15 17 40  50  9.0 12.0    MM    MM    MM  MM 1016.7  24.9  26.6  23.4   MM   MM    MM
2023 09 15 17 30  60  9.0 12.0    MM    MM    MM  MM 1016.6  24.8  26.6  23.3   MM   MM    MM
2023 09 15 17 20  60  8.0 10.0   2.0     9   5.8  87 1016.5  24.6  26.6  23.3   MM   MM    MM
2023 09 15 17 10  60  9.0 12.0   2.0    MM   5.8  87 1016.6  24.6  26.6  22.9   MM   MM    MM
2023 09 15 17 00  60  9.0 12.0    MM    MM    MM  MM 1016.5  24.9  26.5  22.7   MM +1.1    MM
2023 09 15 16 50  70  9.0 12.0   2.1     6   5.9  69 1016.3  24.9  26.6  22.6   MM   MM    MM
2023 09 15 16 40  70  9.0 11.0   2.1    MM   5.9  69 1016.3  25.4  26.6  22.3   MM   MM    MM
2023 09 15 16 30  60  9.0 11.0    MM    MM    MM  MM 1016.2  25.7  26.6  21.7   MM   MM    MM
2023 09 15 16 20  60  9.0 12.0   2.1     7   5.9  70 1016.0  25.5  26.5  21.4   MM   MM    MM
2023 09 15 16 10  70  9.0 12.0   2.1    MM   5.9  70 1015.8  25.5  26.5  21.9   MM   MM    MM
2023 09 15 16 00  70  9.0 10.0    MM    MM    MM  MM 1015.7  25.3  26.6  21.9   MM +0.0    MM
2023 09 15 15 50  70  9.0 11.0   2.2     6   5.7  75 1015.8  25.1  26.5  22.2   MM   MM    MM
2023 09 15 15 40  80 11.0 13.0    MM    MM    MM  MM 1015.7  25.0  26.6  22.3   MM   MM    MM
2023 09 15 15 30  70 11.0 14.0    MM    MM    MM  MM 1015.6  25.0  26.6  22.7   MM   MM    MM
2023 09 15 15 20  70 11.0 13.0   2.1     6   5.7  85 1015.5  25.1  26.6  22.5   MM   MM    MM
2023 09 15 15 10  70 10.0 13.0   2.1    MM   5.7  85 1015.5  25.1  26.6  22.6   MM   MM    MM
2023 09 15 15 00  70 10.0 12.0    MM    MM    MM  MM 1015.5  25.3  26.6  22.9   MM -0.3    MM
2023 09 15 14 50  70 10.0 13.0   2.2     8   5.9  91 1015.3  25.4  26.6  22.9   MM   MM    MM
2023 09 15 14 40  70 10.0 14.0    MM    MM    MM  MM 1015.5  25.4  26.6  22.9   MM   MM    MM
2023 09 15 14 30  70 10.0 12.0    MM    MM    MM  MM 1015.4  25.4  26.6  22.7   MM   MM    MM
2023 09 15 14 20  70  9.0 13.0   2.0     6   5.8  79 1015.5  25.6  26.6  22.6   MM   MM    MM
2023 09 15 14 10  60  9.0 11.0   2.0    MM   5.8  79 1015.3  25.8  26.6  22.6   MM   MM    MM
2023 09 15 14 00  60  9.0 11.0    MM    MM    MM  MM 1015.4  25.9  26.6  22.6   MM -0.5    MM
2023 09 15 13 50  60  9.0 11.0   2.1     6   5.9  76 1015.4  25.8  26.6  22.4   MM   MM    MM
2023 09 15 13 40  60  8.0 10.0    MM    MM    MM  MM 1015.4  25.8  26.6  22.2   MM   MM    MM
2023 09 15 13 30  70  9.0 11.0    MM    MM    MM  MM 1015.3  25.8  26.6  22.0   MM   MM    MM
2023 09 15 13 20  70  8.0 11.0   2.0     8   5.9  80 1015.5  25.9  26.6  22.0   MM   MM    MM
2023 09 15 13 10  60  9.0 11.0   2.0    MM   5.9  80 1015.5  25.8  26.6  22.1   MM   MM    MM
2023 09 15 13 00  70  9.0 11.0    MM    MM    MM  MM 1015.5  25.8  26.6  22.0   MM -0.8    MM
2023 09 15 12 50  70  9.0 12.0   2.1     6   5.8  74 1015.6  25.8  26.6  22.3   MM   MM    MM
2023 09 15 12 40  70  9.0 12.0    MM    MM    MM  MM 1015.7  25.8  26.6  22.5   MM   MM    MM
2023 09 15 12 30  70  9.0 12.0    MM    MM    MM  MM 1015.7  25.8  26.6  22.8   MM   MM    MM
2023 09 15 12 20  70  9.0 10.0   2.0     9   5.6 104 1015.7  25.9  26.6  22.7   MM   MM    MM
2023 09 15 12 10  70  9.0 11.0   2.0    MM   5.6 104 1015.8  25.9  26.6  22.7   MM   MM    MM
2023 09 15 12 00  70  9.0 11.0    MM    MM    MM  MM 1015.8  25.9  26.6  22.5   MM -0.9    MM
2023 09 15 11 50  70  9.0 11.0   2.0     8   5.8  84 1015.8  25.8  26.6  22.5   MM   MM    MM
2023 09 15 11 40  70  8.0 11.0    MM    MM    MM  MM 1015.7  25.9  26.6  22.6   MM   MM    MM
2023 09 15 11 30  70  9.0 11.0    MM    MM    MM  MM 1015.7  25.9  26.6  22.3   MM   MM    MM
2023 09 15 11 20  70  8.0 11.0   1.9     8   5.5  86 1015.8  25.9  26.6  22.6   MM   MM    MM
2023 09 15 11 10  70  9.0 11.0   1.9    MM   5.5  86 1015.8  25.9  26.6  22.5   MM   MM    MM
2023 09 15 11 00  70  9.0 11.0    MM    MM    MM  MM 1015.9  25.9  26.6  22.6   MM -1.1    MM
2023 09 15 10 50  70  8.0 11.0   1.9     8   5.5  87 1015.8  26.0  26.6  22.7   MM   MM    MM
2023 09 15 10 40  70  9.0 11.0    MM    MM    MM  MM 1016.0  26.0  26.6  22.4   MM   MM    MM
2023 09 15 10 30  70  9.0 11.0    MM    MM    MM  MM 1016.0  25.9  26.6  22.4   MM   MM    MM
2023 09 15 10 20  70  9.0 11.0   1.9     8   5.7  75 1016.0  25.9  26.6  22.7   MM   MM    MM
2023 09 15 10 10  70  9.0 11.0   1.9    MM   5.7  75 1016.1  26.0  26.6  22.6   MM   MM    MM
2023 09 15 10 00  70  9.0 11.0    MM    MM    MM  MM 1016.3  26.0  26.6  22.7   MM -0.7    MM
2023 09 15 09 50  70  9.0 10.0   1.9     9   5.7 101 1016.3  26.0  26.6  22.7   MM   MM    MM
2023 09 15 09 40  70  9.0 11.0    MM    MM    MM  MM 1016.4  26.1  26.6  22.5   MM   MM    MM
2023 09 15 09 30  70  9.0 10.0    MM    MM    MM  MM 1016.5  26.0  26.6  22.4   MM   MM    MM
2023 09 15 09 20  70  9.0 12.0   1.8     8   5.6  82 1016.6  26.0  26.6  22.3   MM   MM    MM
2023 09 15 09 10  70  9.0 11.0   1.8    MM   5.6  82 1016.8  25.9  26.6  22.0   MM   MM    MM
2023 09 15 09 00  70  9.0 11.0    MM    MM    MM  MM 1016.7  26.0  26.6  22.3   MM +0.3    MM
2023 09 15 08 50  80  9.0 12.0   1.8     9   5.8  77 1016.9  26.0  26.6  22.5   MM   MM    MM
2023 09 15 08 40  70  9.0 11.0   1.8    MM   5.8  77 1016.9  25.9  26.6  22.6   MM   MM    MM
2023 09 15 08 30  70  8.0 11.0    MM    MM    MM  MM 1016.9  25.7  26.6  22.5   MM   MM    MM
2023 09 15 08 20  60  9.0 11.0   1.7     8   5.8  72 1017.0  26.0  26.6  22.7   MM   MM    MM
2023 09 15 08 10  60  8.0 10.0   1.7    MM   5.8  72 1017.0  25.9  26.6  22.3   MM   MM    MM
2023 09 15 08 00  70  8.0 10.0    MM    MM    MM  MM 1017.0  26.1  26.6  22.3   MM +0.9    MM
2023 09 15 07 50  70  7.0  9.0   1.8    10   6.4 118 1017.0  26.1    MM  22.3   MM   MM    MM
2023 09 15 07 40  70  7.0  9.0   1.8    MM   6.4 118 1016.9  26.1  26.6  22.1   MM   MM    MM
2023 09 15 07 30  70  8.0  9.0    MM    MM    MM  MM 1016.9  26.0  26.6  22.1   MM   MM    MM
2023 09 15 07 20  70  7.0  9.0   1.8     9   6.3 100 1017.0  26.1    MM  22.3   MM   MM    MM
2023 09 15 07 10  70  7.0  9.0   1.8    MM   6.3 100 1017.0  26.0  26.6  22.3   MM   MM    MM
2023 09 15 07 00  70  7.0  9.0    MM    MM    MM  MM 1017.0  26.0  26.6  22.2   MM +1.5    MM
2023 09 15 06 50  70  7.0  9.0   1.7     8   6.1  75 1016.8  26.0  26.6  22.0   MM   MM    MM
2023 09 15 06 40  70  8.0 10.0    MM    MM    MM  MM 1016.8  25.8  26.6  22.0   MM   MM    MM
2023 09 15 06 30  60  6.0  8.0    MM    MM    MM  MM 1016.7  25.4  26.6  22.4   MM   MM    MM
2023 09 15 06 20  60  6.0  7.0   1.7     9   6.1  74 1016.6  25.3  26.6  22.3   MM   MM    MM
2023 09 15 06 10  60  7.0 10.0   1.7    MM   6.1  74 1016.5  25.2  26.6  22.3   MM   MM    MM
2023 09 15 06 00  70  7.0 12.0    MM    MM    MM  MM 1016.4  25.7  26.6  22.2   MM +1.2    MM
2023 09 15 05 50  60  7.0  9.0   1.7     8   6.2  94 1016.3  25.9  26.7  21.9   MM   MM    MM
2023 09 15 05 40  70  7.0  9.0    MM    MM    MM  MM 1016.3  25.9  26.7  21.7   MM   MM    MM
2023 09 15 05 30  60  7.0  9.0    MM    MM    MM  MM 1016.1  25.8  26.7  21.7   MM   MM    MM
2023 09 15 05 20  60  7.0  9.0   1.7     9   6.1  97 1016.1  25.8  26.7  22.1   MM   MM    MM
2023 09 15 05 10  60  7.0 10.0   1.7    MM   6.1  97 1016.1  25.9  26.7  22.0   MM   MM    MM
2023 09 15 05 00  60  6.0  8.0    MM    MM    MM  MM 1016.1  25.9    MM  21.9   MM +1.1    MM
2023 09 15 04 50  60  7.0  8.0   1.7     9   6.2  76 1016.0  25.8  26.7  21.9   MM   MM    MM
2023 09 15 04 40  60  6.0  8.0    MM    MM    MM  MM 1015.9  25.9  26.7  22.2   MM   MM    MM
2023 09 15 04 30  70  7.0  9.0    MM    MM    MM  MM 1015.8  26.0  26.7  21.7   MM   MM    MM
2023 09 15 04 20  70  7.0  9.0   1.7     8   6.0  75 1015.6  25.9  26.7  21.5   MM   MM    MM
2023 09 15 04 10  60  7.0  8.0    MM    MM    MM  MM 1015.5  25.8  26.7  21.7   MM   MM    MM
2023 09 15 04 00  60  6.0  8.0    MM    MM    MM  MM 1015.5  25.8    MM  21.7   MM +0.3    MM
2023 09 15 03 50  60  6.0  8.0   1.6     9   5.9 109 1015.4  25.8  26.7  21.8   MM   MM    MM
2023 09 15 03 40  60  6.0  8.0    MM    MM    MM  MM 1015.5  25.9  26.7  21.7   MM   MM    MM
2023 09 15 03 30  60  6.0  8.0    MM    MM    MM  MM 1015.4  25.9  26.7  21.4   MM   MM    MM
2023 09 15 03 20  70  6.0  8.0   1.8     9   6.2  95 1015.4  25.9  26.7  21.5   MM   MM    MM
2023 09 15 03 10  70  6.0  8.0    MM    MM    MM  MM 1015.3  25.9  26.7  21.6   MM   MM    MM
2023 09 15 03 00  70  6.0  8.0    MM    MM    MM  MM 1015.2  26.0  26.7  21.6   MM -0.4    MM
2023 09 15 02 50  70  7.0  9.0   1.7     9   6.1  65 1015.2  26.0  26.7  21.7   MM   MM    MM
2023 09 15 02 40  70  6.0  8.0   1.7    MM   6.1  65 1015.2  26.0  26.8  21.7   MM   MM    MM
2023 09 15 02 30  70  7.0  8.0    MM    MM    MM  MM 1015.1  26.0  26.8  21.8   MM   MM    MM
2023 09 15 02 20  70  7.0  9.0   1.7     9   6.4  91 1015.1  25.9  26.8  21.8   MM   MM    MM
2023 09 15 02 10  70  6.0  8.0   1.7    MM   6.4  91 1015.0  26.2  26.8  21.6   MM   MM    MM
2023 09 15 02 00  70  6.0  7.0    MM    MM    MM  MM 1015.0  26.0  26.8  21.2   MM -1.1    MM
2023 09 15 01 50  80  6.0  7.0   1.7     9   6.6  86 1015.0  26.1  26.8  21.7   MM   MM    MM
2023 09 15 01 40  70  6.0  7.0    MM    MM    MM  MM 1015.0  26.0  26.8  21.3   MM   MM    MM
2023 09 15 01 30  80  5.0  7.0    MM    MM    MM  MM 1015.0  26.0  26.8  21.4   MM   MM    MM
2023 09 15 01 20  70  5.0  7.0   1.6     8   6.2  88 1015.1  26.0  26.8  21.2   MM   MM    MM
2023 09 15 01 10  80  6.0  7.0   1.6    MM   6.2  88 1015.2  26.0  26.8  21.1   MM   MM    MM
2023 09 15 01 00  80  6.0  8.0    MM    MM    MM  MM 1015.2  26.0  26.8  21.4   MM -1.6    MM
2023 09 15 00 50  70  6.0  8.0   1.7     9   6.2  77 1015.2  26.0  26.8  21.6   MM   MM    MM
2023 09 15 00 40  80  5.0  7.0   1.7    MM   6.2  77 1015.2  26.0  26.8  21.3   MM   MM    MM
2023 09 15 00 30  80  5.0  7.0    MM    MM    MM  MM 1015.3  26.0  26.8  21.1   MM   MM    MM
2023 09 15 00 20  80  5.0  7.0   1.7     9   6.4  66 1015.5  26.0  26.8  21.1   MM   MM    MM
2023 09 15 00 10  80  5.0  7.0   1.7    MM   6.4  66 1015.5  26.0  26.8  21.4   MM   MM    MM
2023 09 15 00 00  80  6.0  7.0    MM    MM    MM  MM 1015.6  26.0  26.8  21.2   MM -1.6    MM
2023 09 14 23 50  80  6.0  7.0   1.7    10   6.2  99 1015.7  26.0  26.8  21.1   MM   MM    MM
2023 09 14 23 40  80  6.0  7.0    MM    MM    MM  MM 1015.7  26.0  26.8  21.3   MM   MM    MM
2023 09 14 23 30  80  5.0  7.0    MM    MM    MM  MM 1015.8  26.0  26.8  21.2   MM   MM    MM
2023 09 14 23 20  70  5.0  7.0   1.6     9   6.1  67 1016.0  25.9  26.8  21.2   MM   MM    MM
2023 09 14 23 10  70  6.0  7.0   1.6    MM   6.1  67 1016.0  25.9  26.7  21.4   MM   MM    MM
2023 09 14 23 00  80  6.0  7.0    MM    MM    MM  MM 1016.1  25.9  26.7  21.5   MM -1.5    MM
2023 09 14 22 50  80  6.0  8.0   1.7     7   6.3  69 1016.1  25.9    MM  21.6   MM   MM    MM
2023 09 14 22 40  80  6.0  7.0   1.7    MM   6.3  69 1016.3  25.9  26.7  21.6   MM   MM    MM
2023 09 14 22 30  80  6.0  7.0    MM    MM    MM  MM 1016.5  25.9  26.7  21.6   MM   MM    MM
2023 09 14 22 20  80  6.0  7.0   1.7     9   6.2  83 1016.6  25.9  26.7  21.6   MM   MM    MM
2023 09 14 22 10  80  6.0  7.0   1.7    MM   6.2  83 1016.6  25.9  26.7  21.5   MM   MM    MM
2023 09 14 22 00  80  5.0  7.0    MM    MM    MM  MM 1016.8  25.9  26.7  21.7   MM -0.7    MM
2023 09 14 21 50  90  5.0  7.0   1.6     7   5.9  69 1016.9  25.9  26.7  21.7   MM   MM    MM
2023 09 14 21 40  90  6.0  7.0   1.6    MM   5.9  69 1016.9  25.8  26.7  21.6   MM   MM    MM
2023 09 14 21 30  80  6.0  8.0    MM    MM    MM  MM 1016.9  25.8  26.6  22.0   MM   MM    MM
2023 09 14 21 20  80  6.0  7.0   1.8     8   6.3  82 1017.0  25.8  26.6  21.9   MM   MM    MM
2023 09 14 21 10  70  6.0  7.0   1.8    MM   6.3  82 1017.1  25.8  26.6  21.9   MM   MM    MM
2023 09 14 21 00  80  6.0  7.0    MM    MM    MM  MM 1017.2  25.8    MM  21.7   MM +0.0    MM
2023 09 14 20 50  80  6.0  7.0   1.7     9   6.2  89 1017.3  25.9  26.6  21.9   MM   MM    MM
2023 09 14 20 40  80  6.0  8.0   1.7    MM   6.2  89 1017.4  25.8  26.6  21.7   MM   MM    MM
2023 09 14 20 30  80  6.0  8.0    MM    MM    MM  MM 1017.5  25.9    MM  21.8   MM   MM    MM
2023 09 14 20 20  80  6.0  8.0   1.6    10   5.8  64 1017.5  25.9  26.6  21.6   MM   MM    MM
2023 09 14 20 10  MM   MM   MM    MM    MM    MM  MM 1017.5    MM  26.6    MM   MM   MM    MM
2023 09 14 20 00  80  6.0  8.0    MM    MM    MM  MM 1017.6  25.9    MM  21.7   MM +0.4    MM
2023 09 14 19 50  90  6.0  8.0   1.7     9   6.0 107 1017.6  25.9  26.6  22.0   MM   MM    MM
2023 09 14 19 40  80  6.0  8.0    MM    MM    MM  MM 1017.7  25.9  26.6  21.9   MM   MM    MM
2023 09 14 19 30  90  6.0  8.0    MM    MM    MM  MM 1017.6  25.9  26.6  21.7   MM   MM    MM
2023 09 14 19 20  90  6.0  8.0   1.7     7   5.8  70 1017.5  25.9  26.6  21.4   MM   MM    MM
2023 09 14 19 10  90  7.0  9.0   1.7    MM   5.8  70 1017.5  25.9  26.6  21.5   MM   MM    MM
2023 09 14 19 00  90  7.0  8.0    MM    MM    MM  MM 1017.5  25.9  26.5  21.6   MM +0.9    MM
2023 09 14 18 50  90  7.0  8.0   1.7     9   6.0  84 1017.5  25.9  26.5  21.6   MM   MM    MM
2023 09 14 18 40  90  7.0  9.0    MM    MM    MM  MM 1017.4  26.0    MM  21.5   MM   MM    MM
2023 09 14 18 30  90  7.0  9.0    MM    MM    MM  MM 1017.4  25.9  26.5  21.3   MM   MM    MM
2023 09 14 18 20  90  7.0  8.0   1.8     7   6.1  64 1017.5  25.9  26.5  21.8   MM   MM    MM
2023 09 14 18 10  90  7.0  9.0   1.8    MM   6.1  64 1017.4  26.0  26.5  21.8   MM   MM    MM
2023 09 14 18 00  90  7.0  9.0    MM    MM    MM  MM 1017.4  25.9  26.5  21.7   MM +1.5    MM
2023 09 14 17 50 100  7.0  9.0   1.7    10   6.0  86 1017.4  26.0  26.5  21.6   MM   MM    MM
2023 09 14 17 40  90  7.0  9.0    MM    MM    MM  MM 1017.3  25.9  26.5  21.4   MM   MM    MM
2023 09 14 17 30  90  7.0  9.0    MM    MM    MM  MM 1017.2  25.9  26.5  21.7   MM   MM    MM
2023 09 14 17 20  80  7.0  9.0   1.8    10   6.2  82 1017.2  25.9  26.5  21.6   MM   MM    MM
2023 09 14 17 10  90  7.0  9.0   1.8    MM   6.2  82 1017.2  25.9  26.5  21.7   MM   MM    MM
2023 09 14 17 00  90  7.0  9.0    MM    MM    MM  MM 1017.2  25.8  26.5  21.8   MM +1.5    MM
2023 09 14 16 50  80  7.0  8.0   1.5     6   5.7  88 1017.0  25.8  26.5  21.8   MM   MM    MM
2023 09 14 16 40  80  7.0  8.0    MM    MM    MM  MM 1017.0  25.7  26.5  21.9   MM   MM    MM
2023 09 14 16 30  80  7.0  9.0    MM    MM    MM  MM 1016.9  25.7  26.5  22.1   MM   MM    MM
2023 09 14 16 20  80  7.0  9.0   1.5     9   5.9  89 1016.8  25.7  26.5  21.9   MM   MM    MM
2023 09 14 16 10  80  7.0  8.0   1.5    MM   5.9  89 1016.6  25.7  26.5  22.0   MM   MM    MM
2023 09 14 16 00  80  6.0  9.0    MM    MM    MM  MM 1016.6  25.7  26.5  21.9   MM +0.5    MM
2023 09 14 15 50  90  7.0  9.0   1.7     8   6.2  82 1016.3  25.6  26.5  21.8   MM   MM    MM
2023 09 14 15 40  80  7.0  9.0    MM    MM    MM  MM 1016.3  25.7  26.5  22.1   MM   MM    MM
2023 09 14 15 30  80  7.0  8.0    MM    MM    MM  MM 1016.2  25.7  26.5  22.0   MM   MM    MM
2023 09 14 15 20  80  6.0  8.0   1.6    10   5.9  78 1016.1  25.6  26.5  21.7   MM   MM    MM
2023 09 14 15 10  80  7.0  8.0   1.6    MM   5.9  78 1016.1  25.7  26.5  22.0   MM   MM    MM
2023 09 14 15 00  70  7.0  9.0    MM    MM    MM  MM 1015.9  25.6  26.5  22.0   MM -0.8    MM
2023 09 14 14 50  80  6.0  8.0   1.6    10   6.0  80 1015.9  25.6  26.6  22.3   MM   MM    MM
2023 09 14 14 40  70  7.0  8.0    MM    MM    MM  MM 1015.9  25.6  26.5  22.3   MM   MM    MM
2023 09 14 14 30  70  7.0  9.0    MM    MM    MM  MM 1015.9  25.6  26.6  22.2   MM   MM    MM
2023 09 14 14 20  70  7.0  9.0   1.8     8   6.2  89 1015.9  25.7  26.6  22.3   MM   MM    MM
2023 09 14 14 10  70  7.0  8.0   1.8    MM   6.2  89 1015.8  25.6  26.6  22.1   MM   MM    MM
2023 09 14 14 00  70  6.0  8.0    MM    MM    MM  MM 1015.7  25.7  26.6  22.4   MM -1.5    MM
2023 09 14 13 50  70  6.0  9.0   1.7     9   6.3  94 1015.7  25.7  26.6  22.2   MM   MM    MM
2023 09 14 13 40  70  7.0  8.0    MM    MM    MM  MM 1015.7  25.6  26.6  22.1   MM   MM    MM
2023 09 14 13 30  70  6.0  8.0    MM    MM    MM  MM 1015.8  25.7  26.6  22.3   MM   MM    MM
2023 09 14 13 20  70  6.0  8.0   1.6    10   5.8 103 1015.9  25.7  26.6  22.3   MM   MM    MM
2023 09 14 13 10  80  7.0  9.0   1.6    MM   5.8 103 1015.9  25.7  26.6  22.3   MM   MM    MM
2023 09 14 13 00  70  7.0  8.0    MM    MM    MM  MM 1016.1  25.7  26.6  22.3   MM -1.5    MM
2023 09 14 12 50  70  6.0  8.0   1.7     9   6.1  89 1016.1  25.7  26.6  22.3   MM   MM    MM
2023 09 14 12 40  70  7.0  9.0    MM    MM    MM  MM 1016.3  25.7  26.6  22.3   MM   MM    MM
2023 09 14 12 30  70  7.0  9.0    MM    MM    MM  MM 1016.3  25.7  26.6  22.4   MM   MM    MM
2023 09 14 12 20  70  6.0  8.0   1.7     7   5.9  86 1016.5  25.7  26.6  22.4   MM   MM    MM
2023 09 14 12 10  70  7.0  8.0   1.7    MM   5.9  86 1016.6  25.7  26.6  22.3   MM   MM    MM
2023 09 14 12 00  80  7.0  8.0    MM    MM    MM  MM 1016.7  25.7  26.6  22.3   MM -1.1    MM
2023 09 14 11 50  70  7.0  9.0   1.7    10   6.0  89 1016.8  25.7  26.5  22.2   MM   MM    MM
2023 09 14 11 40  80  7.0  9.0    MM    MM    MM  MM 1016.8  25.7  26.5  22.2   MM   MM    MM
2023 09 14 11 30  70  7.0  9.0    MM    MM    MM  MM 1016.9  25.7  26.5  22.2   MM   MM    MM
2023 09 14 11 20  80  7.0  9.0   1.7     8   6.0  60 1017.0  25.7  26.6  22.4   MM   MM    MM
2023 09 14 11 10  70  7.0  9.0   1.7    MM   6.0  60 1017.1  25.7  26.6  22.2   MM   MM    MM
2023 09 14 11 00  70  7.0  9.0    MM    MM    MM  MM 1017.2  25.8  26.6  22.4   MM -0.9    MM
2023 09 14 10 50  70  7.0  9.0   1.8     8   6.1  81 1017.3  25.8  26.6  22.3   MM   MM    MM
2023 09 14 10 40  80  7.0  9.0    MM    MM    MM  MM 1017.4  25.8  26.6  22.2   MM   MM    MM
2023 09 14 10 30  70  7.0  9.0    MM    MM    MM  MM 1017.4  25.8  26.6  22.4   MM   MM    MM
2023 09 14 10 20  70  7.0  9.0   1.7     8   5.8  67 1017.4  25.9  26.6  22.4   MM   MM    MM
2023 09 14 10 10  80  7.0  9.0    MM    MM    MM  MM 1017.5  25.9  26.6  22.3   MM   MM    MM
2023 09 14 10 00  80  7.0  9.0    MM    MM    MM  MM 1017.6  25.9  26.6  22.3   MM -0.3    MM
2023 09 14 09 50  70  7.0  9.0   1.8     9   6.0  75 1017.7  25.8  26.6  22.3   MM   MM    MM
2023 09 14 09 40  70  7.0  9.0    MM    MM    MM  MM 1017.7  25.9  26.6  22.7   MM   MM    MM
2023 09 14 09 30  70  7.0  9.0    MM    MM    MM  MM 1017.8  25.9  26.6  22.5   MM   MM    MM
2023 09 14 09 20  70  7.0  9.0   1.8     8   6.0  67 1017.8  25.9  26.6  22.3   MM   MM    MM
2023 09 14 09 10  70  7.0  9.0   1.8    MM   6.0  67 1017.8  25.8  26.6  22.3   MM   MM    MM
2023 09 14 09 00  70  7.0  9.0    MM    MM    MM  MM 1017.8  25.9  26.6  22.5   MM +0.5    MM
2023 09 14 08 50  70  7.0  9.0   1.8     8   6.1  79 1017.8  25.9  26.6  22.3   MM   MM    MM
2023 09 14 08 40  70  7.0  9.0    MM    MM    MM  MM 1017.9  25.9  26.6  22.5   MM   MM    MM
2023 09 14 08 30  70  7.0  8.0    MM    MM    MM  MM 1018.0  25.9  26.6  22.5   MM   MM    MM
2023 09 14 08 20  70  7.0  9.0   1.8     7   6.1  78 1018.1  25.8  26.6  22.3   MM   MM    MM
2023 09 14 08 10  MM   MM   MM    MM    MM    MM  MM 1018.1    MM    MM    MM   MM   MM    MM
2023 09 14 08 00  70  7.0  8.0    MM    MM    MM  MM 1018.1  25.9  26.6  22.4   MM +1.4    MM
2023 09 14 07 50  MM   MM   MM   1.8    MM   6.1  77 1018.2    MM  26.6    MM   MM   MM    MM
2023 09 14 07 40  70  8.0 10.0   1.8    MM   6.1  77 1018.2  25.9  26.6  22.0   MM   MM    MM
2023 09 14 07 30  70  7.0  9.0    MM    MM    MM  MM 1018.2  26.0  26.6  22.0   MM   MM    MM
2023 09 14 07 20  70  7.0  9.0   1.8     9   6.2  85 1018.1  26.0  26.6  22.1   MM   MM    MM
2023 09 14 07 10  70  7.0  9.0   1.8    MM   6.2  85 1018.0  26.0  26.6  22.1   MM   MM    MM
2023 09 14 07 00  70  7.0  9.0    MM    MM    MM  MM 1017.9  26.1  26.6  22.3   MM +1.6    MM
2023 09 14 06 50  70  7.0  9.0   1.9     8   6.2  68 1017.9  26.0  26.6  22.1   MM   MM    MM
2023 09 14 06 40  70  7.0  9.0   1.9    MM   6.2  68 1017.8  26.0  26.6  22.5   MM   MM    MM
2023 09 14 06 30  70  7.0  9.0    MM    MM    MM  MM 1017.8  25.9  26.6  22.2   MM   MM    MM
2023 09 14 06 20  60  7.0  9.0   2.0     8   6.6  70 1017.7  25.8    MM  22.3   MM   MM    MM
2023 09 14 06 10  60  7.0 10.0   2.0    MM   6.6  70 1017.5  25.8  26.6  22.3   MM   MM    MM
2023 09 14 06 00  60  8.0 10.0    MM    MM    MM  MM 1017.3  25.8  26.6  22.2   MM +1.4    MM
2023 09 14 05 50  60  8.0 10.0   1.8     8   6.3  63 1017.2  25.6  26.6  22.1   MM   MM    MM
2023 09 14 05 40  60  8.0 11.0    MM    MM    MM  MM 1017.1  25.8  26.6  22.5   MM   MM    MM
2023 09 14 05 30  60  7.0  9.0    MM    MM    MM  MM 1017.0  26.0  26.6  22.4   MM   MM    MM
2023 09 14 05 20  60  7.0  9.0   1.8     8   6.2  76 1016.9  26.0  26.6  22.2   MM   MM    MM
2023 09 14 05 10  60  7.0  9.0   1.8    MM   6.2  76 1016.8  26.0  26.6  22.0   MM   MM    MM
2023 09 14 05 00  60  7.0  9.0    MM    MM    MM  MM 1016.7  26.0  26.6  21.9   MM +1.0    MM
2023 09 14 04 50  60  7.0  9.0   1.8     7   6.3  68 1016.6  26.0  26.6  21.8   MM   MM    MM
2023 09 14 04 40  60  7.0  9.0   1.8    MM   6.3  68 1016.6  26.0  26.6  21.7   MM   MM    MM
2023 09 14 04 30  70  7.0  9.0    MM    MM    MM  MM 1016.5  26.0  26.6  21.5   MM   MM    MM
