#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 26 15 00  MM   MM   MM    MM    MM    MM  MM 1017.7  23.2    MM    MM   MM +1.7    MM
2023 09 26 14 00  MM   MM   MM    MM    MM    MM  MM 1017.0  27.7    MM    MM   MM +1.7    MM
2023 09 26 13 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.7    MM    MM   MM +1.6    MM
2023 09 26 12 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.6    MM    MM   MM +2.1    MM
2023 09 26 11 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.2    MM    MM   MM +0.6    MM
2023 09 26 10 00  MM   MM   MM    MM    MM    MM  MM 1014.4  26.9    MM    MM   MM -1.1    MM
2023 09 26 09 00  MM   MM   MM    MM    MM    MM  MM 1013.9  26.9    MM    MM   MM -2.2    MM
2023 09 26 08 00  MM   MM   MM    MM    MM    MM  MM 1014.7  27.7    MM    MM   MM -1.3    MM
2023 09 26 07 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.7    MM    MM   MM -0.9    MM
2023 09 26 06 00  MM   MM   MM    MM    MM    MM  MM 1016.1  27.6    MM    MM   MM -0.3    MM
2023 09 26 05 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.6    MM    MM   MM -0.4    MM
2023 09 26 04 00  MM   MM   MM    MM    MM    MM  MM 1016.4  27.2    MM    MM   MM +0.3    MM
2023 09 26 03 00  MM   MM   MM    MM    MM    MM  MM 1016.4  27.3    MM    MM   MM +0.7    MM
2023 09 26 02 00  MM   MM   MM    MM    MM    MM  MM 1016.4  27.1    MM    MM   MM +1.0    MM
2023 09 26 01 00  MM   MM   MM    MM    MM    MM  MM 1016.1  26.9    MM    MM   MM +0.6    MM
2023 09 26 00 00  MM   MM   MM    MM    MM    MM  MM 1015.7  27.2    MM    MM   MM +0.5    MM
2023 09 25 23 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.0    MM    MM   MM -0.3    MM
2023 09 25 22 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.1    MM    MM   MM -0.6    MM
2023 09 25 21 00  MM   MM   MM    MM    MM    MM  MM 1015.2  27.2    MM    MM   MM -1.3    MM
2023 09 25 20 00  MM   MM   MM    MM    MM    MM  MM 1015.7  27.2    MM    MM   MM -1.4    MM
2023 09 25 19 00  MM   MM   MM    MM    MM    MM  MM 1016.1  26.3    MM    MM   MM -1.1    MM
2023 09 25 18 00  MM   MM   MM    MM    MM    MM  MM 1016.5  26.7    MM    MM   MM -0.6    MM
2023 09 25 17 00  MM   MM   MM    MM    MM    MM  MM 1017.1  25.8    MM    MM   MM +1.2    MM
2023 09 25 16 00  MM   MM   MM    MM    MM    MM  MM 1017.2  24.6    MM    MM   MM +1.2    MM
2023 09 25 15 00  MM   MM   MM    MM    MM    MM  MM 1017.1  25.7    MM    MM   MM +1.3    MM
2023 09 25 14 00  MM   MM   MM    MM    MM    MM  MM 1015.9  25.2    MM    MM   MM +0.3    MM
2023 09 25 13 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.1    MM    MM   MM +1.0    MM
2023 09 25 12 00  MM   MM   MM    MM    MM    MM  MM 1015.8  27.1    MM    MM   MM +1.3    MM
2023 09 25 11 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.6    MM    MM   MM +0.9    MM
